GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,CATALOGUE,SIZE_CLASS
194,194,24d09m34.1s,15d47m13.2s,59,59,59,0,A,giants
195,195,24d09m34.2s,15d48m33.2s,26,26,26,0,A,medium
196,196,24d09m34.5s,15d47m5.9s,25,24,25,0,A,medium
198,198,24d09m34.7s,15d48m34.0s,25,25,25,0,A,medium
199,199,24d09m34.7s,15d46m40.4s,45,45,45,0,A,giants
200,200,24d09m34.8s,15d48m32.7s,59,59,59,0,A,giants
201,201,24d09m34.8s,15d47m4.4s,49,49,49,0,A,giants
203,203,24d09m35.0s,15d47m9.6s,36,29,34,-50,A,large
204,204,24d09m35.1s,15d46m56.7s,65,61,63,0,A,giants
205,205,24d09m35.2s,15d46m49.9s,34,24,31,-30,A,large
206,206,24d09m35.2s,15d46m49.2s,15,15,15,0,A,tiny
207,207,24d09m35.4s,15d46m59.9s,54,54,54,0,A,giants
208,208,24d09m35.4s,15d47m15.6s,26,25,26,-90,A,medium
209,209,24d09m35.7s,15d47m6.3s,60,48,56,0,A,giants
210,210,24d09m35.8s,15d46m47.1s,29,28,28,0,A,medium
211,211,24d09m35.8s,15d47m8.1s,49,26,42,0,A,giants
212,212,24d09m35.8s,15d47m20.5s,56,41,51,10,A,giants
213,213,24d09m35.8s,15d46m3.3s,36,32,34,0,A,large
214,214,24d09m36.0s,15d46m6.3s,19,18,18,-90,A,small
215,215,24d09m36.1s,15d46m53.3s,86,69,81,-20,A,giants
217,217,24d09m36.2s,15d48m36.3s,21,21,21,0,A,small
218,218,24d09m36.2s,15d47m15.9s,21,21,21,0,A,small
219,219,24d09m36.3s,15d47m32.3s,28,28,28,0,A,medium
220,220,24d09m36.5s,15d46m50.4s,17,16,17,-90,A,tiny
221,221,24d09m36.5s,15d46m58.8s,31,19,27,0,A,medium
222,222,24d09m36.6s,15d46m46.0s,71,47,63,0,A,giants
223,223,24d09m36.7s,15d48m33.7s,38,38,38,0,A,large
224,224,24d09m36.8s,15d46m39.8s,11,11,11,0,A,tiny
225,225,24d09m36.9s,15d46m57.0s,19,19,19,0,A,small
226,226,24d09m37.1s,15d47m1.3s,37,37,37,0,A,large
227,227,24d09m37.1s,15d47m21.4s,22,22,22,0,A,small
228,228,24d09m37.1s,15d46m7.9s,196,143,178,20,A,edgeLarge
229,229,24d09m37.1s,15d47m14.3s,39,39,39,0,A,large
230,230,24d09m37.2s,15d46m14.9s,57,57,57,0,A,giants
231,231,24d09m37.2s,15d46m40.4s,37,37,37,0,A,large
232,232,24d09m37.3s,15d46m56.2s,44,28,39,-70,A,large
234,234,24d09m37.4s,15d47m26.5s,33,32,32,0,A,large
235,235,24d09m37.5s,15d47m30.5s,50,38,46,0,A,giants
237,237,24d09m37.6s,15d46m54.5s,28,27,27,-90,A,medium
238,238,24d09m37.8s,15d46m45.0s,25,25,25,0,A,medium
240,240,24d09m38.0s,15d46m40.3s,10,10,10,0,A,tiny
241,241,24d09m38.2s,15d47m18.8s,36,36,36,0,A,large
242,242,24d09m38.2s,15d47m27.8s,32,20,28,0,A,medium
243,243,24d09m38.5s,15d45m57.6s,28,28,28,0,A,medium
244,244,24d09m38.6s,15d45m59.2s,22,22,22,0,A,small
245,245,24d09m38.6s,15d46m10.8s,19,18,19,-90,A,small
246,246,24d09m38.6s,15d46m53.8s,26,25,26,-90,A,medium
248,248,24d09m38.7s,15d46m55.6s,41,40,41,0,A,giants
249,249,24d09m39.0s,15d47m28.8s,34,34,34,0,A,large
250,250,24d09m39.2s,15d46m57.0s,73,55,67,-50,A,giants
251,251,24d09m39.3s,15d47m49.5s,48,38,44,50,A,giants
252,252,24d09m39.3s,15d46m45.4s,45,31,41,-20,A,giants
253,253,24d09m39.3s,15d46m9.6s,22,20,21,-90,A,small
256,256,24d09m39.5s,15d46m58.0s,17,17,17,0,A,tiny
257,257,24d09m39.5s,15d46m55.4s,17,14,16,-90,A,tiny
258,258,24d09m39.6s,15d47m25.5s,45,44,45,0,A,giants
259,259,24d09m39.7s,15d46m54.2s,20,19,20,-90,A,small
260,260,24d09m39.9s,15d45m57.8s,24,24,24,0,A,medium
261,261,24d09m40.0s,15d47m27.1s,40,40,40,0,A,large
262,262,24d09m40.2s,15d47m47.9s,48,34,43,60,A,giants
263,263,24d09m40.2s,15d47m28.8s,33,33,33,0,A,large
264,264,24d09m40.4s,15d45m55.0s,98,98,98,0,A,giants
265,265,24d09m40.5s,15d46m58.9s,40,31,37,0,A,large
266,266,24d09m40.6s,15d47m2.5s,20,20,20,0,A,small
267,267,24d09m40.6s,15d46m10.4s,27,27,27,0,A,medium
268,268,24d09m40.7s,15d46m57.7s,24,23,23,0,A,small
269,269,24d09m40.8s,15d46m55.7s,15,14,15,-90,A,tiny
270,270,24d09m40.8s,15d46m56.9s,35,27,32,0,A,large
271,271,24d09m40.9s,15d47m10.1s,30,30,30,0,A,large
272,272,24d09m41.0s,15d47m23.7s,26,26,26,0,A,medium
273,273,24d09m41.1s,15d46m45.7s,24,24,24,0,A,medium
274,274,24d09m41.2s,15d46m58.2s,21,21,21,0,A,small
276,276,24d09m41.5s,15d47m12.1s,46,46,46,0,A,giants
277,277,24d09m41.6s,15d45m50.7s,23,23,23,0,A,small
278,278,24d09m41.6s,15d47m23.5s,16,16,16,0,A,tiny
279,279,24d09m41.7s,15d47m0.0s,36,36,36,0,A,large
281,281,24d09m41.8s,15d46m56.3s,19,19,19,0,A,small
284,284,24d09m41.9s,15d47m51.0s,17,17,17,0,A,tiny
285,285,24d09m41.9s,15d46m43.3s,10,10,10,0,A,tiny
286,286,24d09m41.9s,15d47m10.9s,35,35,35,0,A,large
287,287,24d09m42.0s,15d47m49.0s,95,63,84,-40,A,giants
289,289,24d09m42.2s,15d47m18.7s,83,52,73,0,A,giants
290,290,24d09m42.2s,15d47m47.3s,25,25,25,0,A,medium
291,291,24d09m42.2s,15d45m59.8s,26,26,26,0,A,medium
292,292,24d09m42.4s,15d46m57.1s,35,27,33,0,A,large
293,293,24d09m42.4s,15d46m55.5s,25,18,23,60,A,small
294,294,24d09m42.4s,15d47m2.8s,30,30,30,0,A,large
295,295,24d09m42.5s,15d45m51.1s,30,24,28,-20,A,medium
297,297,24d09m42.7s,15d46m49.6s,23,17,21,0,A,small
298,298,24d09m42.7s,15d48m31.1s,49,49,49,0,A,giants
299,299,24d09m42.8s,15d47m50.3s,38,38,38,0,A,large
