GLOBAL_ID,ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,CATALOGUE
692,692,24d10m7.3s,15d45m58.0s,41,41,41,0,4,24,3.13,A
697,697,24d10m7.5s,15d48m39.1s,41,41,41,0,1,113,4.75,A
699,699,24d10m7.7s,15d48m13.0s,71,47,63,-80,2,124,3.53,A
700,700,24d10m8.0s,15d48m3.1s,59,59,59,0,2,41,3.07,A
701,701,24d10m8.1s,15d46m41.4s,83,79,82,-60,2,-75,1.24,A
703,703,24d10m8.1s,15d47m45.4s,74,58,69,0,2,-103,2.27,A
704,704,24d10m8.5s,15d45m53.4s,43,43,43,0,4,66,3.33,A
708,708,24d10m8.8s,15d46m31.5s,58,39,52,0,2,-45,1.62,A
713,713,24d10m9.2s,15d46m23.8s,93,74,86,-90,2,99,1.94,A
718,718,24d10m9.6s,15d48m2.1s,60,60,60,0,2,27,3.0,A
722,722,24d10m9.9s,15d48m38.1s,58,46,54,0,1,91,4.68,A
736,736,24d10m10.7s,15d48m35.7s,197,130,175,0,1,83,4.56,A
738,738,24d10m10.9s,15d48m44.8s,93,74,87,-10,1,110,4.99,A
744,744,24d10m11.3s,15d46m13.6s,70,59,66,-90,4,-109,2.36,A
747,747,24d10m11.4s,15d47m11.0s,116,89,107,0,4,156,0.82,A
761,761,24d10m12.6s,15d48m9.6s,404,332,380,-50,2,83,3.33,A
762,762,24d10m12.6s,15d45m58.7s,57,57,57,0,4,22,3.04,A
770,770,24d10m12.8s,15d47m25.3s,66,58,63,-60,4,85,1.3,A
771,771,24d10m12.8s,15d46m14.7s,48,32,43,60,4,-115,2.29,A
774,774,24d10m13.0s,15d45m52.2s,48,48,48,0,4,78,3.34,A
780,780,24d10m13.2s,15d47m17.1s,86,63,79,0,4,106,0.96,A
787,787,24d10m13.5s,15d45m56.7s,51,51,51,0,4,41,3.12,A
788,788,24d10m13.5s,15d48m0.7s,118,74,103,-30,2,4,2.9,A
