label,threshold,dice,iou,precision,recall,f1,gt_foreground_ratio,pred_foreground_ratio,area_ratio_pred_over_gt
intensity_dark_lt,0.9000000000000002,0.2638172,0.15195265,0.15242298,0.9800976,0.26381755,0.15308926,0.98438483,6.430136
intensity_dark_lt,0.8750000000000002,0.26353765,0.15176722,0.15231761,0.97674435,0.263538,0.15308926,0.9816955,6.4125686
intensity_bright_gt,0.5250000000000001,0.26326996,0.15158972,0.15659033,0.8259938,0.26327035,0.15308926,0.8075284,5.2748857
intensity_dark_lt,0.8500000000000003,0.2632379,0.15156843,0.1522135,0.9728002,0.26323825,0.15308926,0.9784001,6.391043
intensity_dark_lt,0.8250000000000003,0.26281196,0.15128608,0.15205419,0.96768844,0.26281232,0.15308926,0.97427857,6.3641205
intensity_dark_lt,0.8000000000000003,0.26226538,0.15092397,0.15184873,0.9612133,0.26226574,0.15308926,0.9690688,6.3300896
intensity_dark_lt,0.7750000000000002,0.2613913,0.15034534,0.15149552,0.95192957,0.2613917,0.15308926,0.9619468,6.2835674
intensity_bright_gt,0.5500000000000002,0.26020366,0.14956018,0.16315326,0.6422339,0.2602042,0.15308926,0.6026197,3.9363942
intensity_dark_lt,0.7500000000000002,0.2601708,0.14953837,0.15099718,0.9393139,0.26017118,0.15308926,0.952331,6.220756
intensity_dark_lt,0.7250000000000002,0.25857243,0.14848328,0.15037332,0.9219567,0.25857282,0.15308926,0.93861115,6.131136
intensity_dark_lt,0.7000000000000002,0.25637338,0.14703481,0.14952831,0.89813864,0.25637376,0.15308926,0.91953003,6.0064955
intensity_bright_gt,0.5750000000000002,0.25458476,0.1458596,0.17267238,0.48435682,0.25458544,0.15308926,0.42942593,2.8050687
intensity_dark_lt,0.6750000000000003,0.25358844,0.14520569,0.14857127,0.86504745,0.25358886,0.15308926,0.8913558,5.822458
intensity_dark_lt,0.6500000000000002,0.24939948,0.14246537,0.14715593,0.81716925,0.24939989,0.15308926,0.85012,5.5531
intensity_dark_lt,0.6250000000000002,0.24319921,0.13843329,0.14520778,0.74793625,0.24319966,0.15308926,0.78853446,5.1508145
intensity_bright_gt,0.6000000000000002,0.23649365,0.13410482,0.17806369,0.3520029,0.23649456,0.15308926,0.30263302,1.9768401
intensity_dark_lt,0.6000000000000002,0.23329115,0.13204876,0.14225252,0.64800066,0.23329163,0.15308926,0.697367,4.5552964
intensity_dark_lt,0.5750000000000002,0.21816754,0.12244035,0.1383522,0.51564676,0.21816812,0.15308926,0.5705741,3.727068
intensity_bright_gt,0.6250000000000002,0.21170262,0.11838295,0.18248282,0.2520673,0.21170379,0.15308926,0.21146557,1.3813219
intensity_dark_lt,0.5500000000000002,0.19899575,0.11049204,0.13782969,0.3577696,0.19899654,0.15308926,0.3973803,2.5957422
intensity_bright_gt,0.6500000000000002,0.18476954,0.10178937,0.18674918,0.18283433,0.18477102,0.15308926,0.14988,0.9790366
intensity_bright_gt,0.6750000000000003,0.15787117,0.085701436,0.19016473,0.13495609,0.15787293,0.15308926,0.10864421,0.7096788
intensity_dark_lt,0.5250000000000001,0.1541772,0.083528414,0.13840504,0.17400977,0.15417853,0.15308926,0.19247164,1.257251
intensity_bright_gt,0.7000000000000002,0.13353509,0.07154554,0.19379131,0.101864934,0.13353708,0.15308926,0.08046995,0.5256407
intensity_bright_gt,0.7250000000000002,0.11141347,0.05899431,0.19462939,0.07804685,0.11141574,0.15308926,0.06138883,0.40100023
intensity_bright_gt,0.7500000000000002,0.0925558,0.048524816,0.19490363,0.06068966,0.09255826,0.15308926,0.047669,0.31138042
intensity_bright_gt,0.7750000000000002,0.077003784,0.04004507,0.19340102,0.048074014,0.07700641,0.15308926,0.03805324,0.24856897
intensity_bright_gt,0.8000000000000003,0.06453743,0.033346187,0.19198379,0.038790263,0.0645402,0.15308926,0.0309312,0.20204683
intensity_bright_gt,0.8250000000000003,0.055330366,0.028453846,0.19233051,0.032315135,0.05533324,0.15308926,0.025721414,0.1680158
intensity_bright_gt,0.8500000000000003,0.04767639,0.02442189,0.19279966,0.027203377,0.047679354,0.15308926,0.021599906,0.14109354
intensity_bright_gt,0.8750000000000002,0.041547168,0.02121587,0.19452217,0.023259208,0.04155021,0.15308926,0.018304553,0.119567834
intensity_dark_lt,0.5000000000000001,0.037794102,0.019262299,0.066043854,0.026473636,0.037796546,0.15308926,0.0613654,0.40084717
intensity_bright_gt,0.9000000000000002,0.03612372,0.018395705,0.19514918,0.019905953,0.03612683,0.15308926,0.01561519,0.10200056
intensity_bright_gt,0.9250000000000003,0.032001335,0.016262487,0.19736949,0.017414149,0.032004498,0.15308926,0.013506753,0.08822796
