ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC
140,24d09m26.5s,15d47m1.6s,99,57,85,40,3,-56,2.73
141,24d09m26.5s,15d47m0.4s,10,9,10,20,3,-50,2.73
142,24d09m26.6s,15d47m13.5s,24,23,24,-90,3,-103,2.78
143,24d09m26.6s,15d48m18.4s,31,29,30,0,3,-65,4.58
144,24d09m26.7s,15d48m22.9s,21,21,21,0,3,-42,4.75
145,24d09m26.8s,15d46m59.2s,8,8,8,-90,3,-44,2.71
146,24d09m27.0s,15d46m59.6s,10,9,10,0,3,-48,2.71
147,24d09m27.1s,15d46m58.3s,39,39,39,0,3,-41,2.70
148,24d09m27.2s,15d48m23.2s,29,29,29,0,3,-44,4.76
149,24d09m27.2s,15d48m25.5s,29,29,29,0,3,-35,4.84
150,24d09m27.4s,15d47m10.5s,34,33,33,0,3,-96,2.72
151,24d09m27.6s,15d47m11.6s,17,16,17,-90,3,-102,2.72
152,24d09m27.7s,15d47m12.6s,24,22,23,-90,3,-107,2.73
153,24d09m27.8s,15d47m8.0s,24,23,24,0,3,-89,2.69
154,24d09m27.8s,15d48m16.1s,19,19,19,0,3,-81,4.46
155,24d09m28.1s,15d46m53.9s,41,40,41,-90,3,-45,2.68
156,24d09m28.2s,15d48m24.9s,19,19,19,0,3,-45,4.79
157,24d09m28.3s,15d48m21.5s,22,22,22,0,3,-61,4.66
158,24d09m28.5s,15d46m59.8s,28,27,27,-90,3,-59,2.64
159,24d09m28.6s,15d47m2.1s,40,39,40,0,3,-73,2.63
160,24d09m28.6s,15d48m26.0s,25,25,25,0,3,-43,4.83
161,24d09m28.6s,15d47m8.9s,24,24,24,0,3,-99,2.66
162,24d09m28.6s,15d48m28.6s,62,62,62,0,3,-31,4.93
163,24d09m28.7s,15d47m4.2s,27,27,27,0,3,-84,2.63
164,24d09m28.8s,15d47m11.9s,31,26,29,-90,2,103,2.67
165,24d09m28.9s,15d47m9.8s,18,18,18,-90,3,-105,2.65
166,24d09m29.4s,15d47m2.2s,21,19,20,-90,3,-79,2.60
167,24d09m29.4s,15d47m17.9s,38,34,37,-90,2,97,2.72
168,24d09m29.5s,15d47m9.5s,21,19,20,-90,2,102,2.62
169,24d09m29.6s,15d46m46.2s,21,21,21,0,3,-89,2.68
170,24d09m30.0s,15d46m19.0s,30,30,30,0,4,-66,3.26
171,24d09m30.5s,15d47m1.9s,29,29,29,0,3,-85,2.54
172,24d09m30.9s,15d47m3.9s,55,55,55,0,2,98,2.53
173,24d09m31.3s,15d47m13.0s,23,19,22,-90,2,81,2.57
174,24d09m31.3s,15d47m17.6s,61,59,60,-90,2,81,2.63
175,24d09m31.3s,15d48m24.5s,32,32,32,0,3,-70,4.70
176,24d09m31.4s,15d48m26.1s,26,26,26,0,3,-62,4.76
177,24d09m31.9s,15d48m34.5s,28,28,28,0,3,-24,5.10
178,24d09m31.9s,15d47m7.0s,37,37,37,0,2,84,2.49
179,24d09m32.0s,15d48m32.1s,26,26,26,0,3,-37,4.99
180,24d09m32.3s,15d47m13.5s,32,32,32,0,2,72,2.53
181,24d09m32.8s,15d48m24.3s,34,34,34,0,3,-81,4.66
182,24d09m32.9s,15d47m12.0s,24,23,24,-90,2,68,2.49
183,24d09m32.9s,15d47m4.4s,18,18,18,0,2,81,2.44
184,24d09m33.0s,15d48m31.5s,40,40,40,0,3,-46,4.95
185,24d09m33.1s,15d47m4.0s,16,16,16,0,2,79,2.43
186,24d09m33.2s,15d48m29.3s,52,52,52,0,3,-60,4.85
187,24d09m33.3s,15d48m33.6s,16,16,16,0,3,-38,5.03
188,24d09m33.4s,15d47m19.1s,14,13,14,-90,2,63,2.56
189,24d09m33.4s,15d47m5.2s,35,35,35,0,2,76,2.42
190,24d09m33.5s,15d47m2.2s,117,117,117,0,2,78,2.41
191,24d09m33.6s,15d46m49.4s,17,16,17,-90,3,-100,2.47
192,24d09m33.6s,15d47m7.1s,29,29,29,0,2,69,2.42
193,24d09m33.7s,15d48m33.9s,10,10,10,0,3,-39,5.03
194,24d09m34.1s,15d47m13.2s,59,59,59,0,2,56,2.45
195,24d09m34.2s,15d48m33.2s,26,26,26,0,3,-46,4.99
196,24d09m34.5s,15d47m5.9s,25,24,25,0,2,65,2.37
197,24d09m34.7s,15d46m54.7s,22,22,22,0,2,88,2.37
198,24d09m34.7s,15d48m34.0s,25,25,25,0,3,-44,5.02
199,24d09m34.7s,15d46m40.4s,45,45,45,0,2,142,2.55
200,24d09m34.8s,15d48m32.7s,59,59,59,0,3,-53,4.96
201,24d09m34.8s,15d47m4.4s,49,49,49,0,2,64,2.35
202,24d09m34.8s,15d47m15.4s,13,11,12,-90,2,50,2.44
203,24d09m35.0s,15d47m9.6s,36,29,34,-50,2,55,2.37
204,24d09m35.1s,15d46m56.7s,65,61,63,0,2,78,2.34
205,24d09m35.2s,15d46m49.9s,34,24,31,-30,2,100,2.39
206,24d09m35.2s,15d46m49.2s,15,15,15,0,2,103,2.40
207,24d09m35.4s,15d46m59.9s,54,54,54,0,2,67,2.32
208,24d09m35.4s,15d47m15.6s,26,25,26,-90,2,45,2.42
209,24d09m35.7s,15d47m6.3s,60,48,56,0,2,54,2.32
210,24d09m35.8s,15d46m47.1s,29,28,28,0,2,107,2.40
